Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1
1951,-1,0,0,0,0,1,1,1,1,1,1,1
1952,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,1,1,1,1,1,1,1,1,1,1,1
1954,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1
1955,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1956,-1,-1,-1,0,0,0,-1,-1,0,0,0,0
1957,0,0,0,1,1,1,1,1,1,1,1,1
1958,1,1,1,1,1,1,1,0,0,0,0,1
1959,1,1,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,1,1,1,1,1,1
1964,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1
1965,-1,0,0,0,0,1,1,1,1,1,1,1
1966,1,1,1,1,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0
1968,-1,-1,-1,0,0,0,1,0,0,0,1,1
1969,1,1,1,1,1,0,0,0,1,1,1,1
1970,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1
1971,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1972,-1,0,0,0,1,1,1,1,1,1,1,1
1973,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1
1974,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1
1975,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1976,-1,-1,-1,0,0,0,0,0,1,1,1,1
1977,1,1,0,0,0,0,0,0,1,1,1,1
1978,1,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,1
1980,1,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,0,0,0,0,0,0,0,0,0,0
1982,0,0,0,0,1,1,1,1,1,1,1,1
1983,1,1,1,1,1,1,0,0,0,-1,-1,-1
1984,-1,0,0,0,0,0,0,0,0,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,1,1,1,1
1987,1,1,1,1,1,1,1,1,1,1,1,1
1988,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
1989,-1,-1,-1,-1,-1,0,0,0,0,0,0,0
1990,0,0,0,0,0,0,0,0,0,0,0,0
1991,0,0,0,0,0,1,1,1,1,1,1,1
1992,1,1,1,1,1,1,0,0,0,0,0,0
1993,0,0,0,1,1,1,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,1,1,1,1
1995,1,1,0,0,0,0,0,0,-1,-1,-1,-1
1996,-1,-1,-1,0,0,0,0,0,0,0,0,0
1997,0,0,0,0,1,1,1,1,1,1,1,1
1998,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1
1999,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2000,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1
2001,-1,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,1,1,1,1,1,1,1
2003,1,1,0,0,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,1,1,1,1,1
2005,1,1,0,0,0,0,0,0,0,0,-1,-1
2006,-1,-1,-1,0,0,0,0,0,0,1,1,1
2007,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1
2008,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1
2009,-1,-1,-1,0,0,0,0,1,1,1,1,1
2010,1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1
2011,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1
2012,-1,-1,-1,0,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,0,0,0,0,0
2014,0,0,0,0,0,0,0,0,0,0,1,1
2015,0,0,0,1,1,1,1,1,1,1,1,1
2016,1,1,1,1,0,0,0,0,-1,-1,-1,-1
2017,0,0,0,0,0,0,0,0,0,-1,-1,-1
2018,-1,-1,-1,0,0,0,0,0,0,1,1,1
2019,1,1,1,1,0,0,0,0,0,0,0,0
2020,0,0,0,0,0,0,0,-1,-1,-1,-1,-1
2021,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1
2022,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2023,-1,0,0,0,0,1,1,1,1,1,1,1
2024,1,1,0,0,0,0,0,0,0,0,0,0
